z,matter_density,antimatter_density,asymmetry
0.1,1.4179143000000004e-47,1.3487618035803332e-47,6.069601413007455e-12
0.12067926406393285,1.4993945770830435e-47,1.4115971295209235e-47,7.317194621806435e-12
0.14563484775012436,1.6018084244349913e-47,1.4893143293152137e-47,8.819349603078879e-12
0.1757510624854792,1.7314823410426786e-47,1.5858211595695337e-47,1.0627154580764346e-11
0.21209508879201905,1.8970640830475643e-47,1.7061850738052965e-47,1.2801563095427334e-11
0.2559547922699536,2.1105417573781365e-47,1.8570092721675616e-47,1.541512204571634e-11
0.3088843596477481,2.3887778400722164e-47,2.0469270967028318e-47,1.8553919992910433e-11
0.372759372031494,2.755847485880012e-47,2.2872388018490605e-47,2.231974265907339e-11
0.44984326689694454,3.246647177093865e-47,2.5927036007780264e-47,2.6832395986619158e-11
0.5428675439323859,3.912531586671679e-47,2.9824671394382497e-47,3.223211626947815e-11
0.6551285568595507,4.8302223444571895e-47,3.4810299833570453e-47,3.868192620957483e-11
0.7906043210907697,6.116046963954125e-47,4.119013967163789e-47,4.636970848497384e-11
0.9540954763499939,7.948940846367364e-47,4.933215243779428e-47,5.550964669568331e-11
1.151395399326447,1.0607978570428595e-46,5.964997960538886e-47,6.634251943818263e-11
1.3894954943731375,1.4534181352916573e-46,7.255468517150211e-47,7.913412083373593e-11
1.6768329368110073,2.043316910160129e-46,8.83519386519733e-47,9.41708203485385e-11
2.0235896477251565,2.9446960662247368e-46,1.070590948777668e-46,1.1175097990634618e-10
2.442053094548651,4.344348157319361e-46,1.2812666755179581e-46,1.3217065605319196e-10
2.9470517025518097,6.550740155042292e-46,1.5008808855250846e-46,1.557018107694917e-10
3.5564803062231287,1.0077676650866842e-45,1.7024741782720263e-46,1.8256128279017053e-10
4.291934260128776,1.578756851774576e-45,1.846433051355988e-46,2.1286926604355916e-10
5.17947467923121,2.5137761306426998e-45,1.8863312602937092e-46,2.4659733507548987e-10
6.25055192527397,4.0605524850857887e-45,1.783589978000903e-46,2.835085489890615e-10
7.543120063354615,6.642345425633887e-45,1.5288108166703192e-46,3.230962049062906e-10
9.102981779915218,1.0985520435962269e-44,1.1591329685222234e-46,3.6453342698252537e-10
10.985411419875584,1.8341327541418473e-44,7.550556923838115e-47,4.066521996603209e-10
13.257113655901081,3.087214193872257e-44,4.0815122935183514e-47,4.479754946188814e-10
15.998587196060573,5.232514121389294e-44,1.756553332271914e-47,4.868257231421327e-10
19.306977288832496,8.920881620274095e-44,5.727313116304486e-48,5.215213545732989e-10
23.29951810515372,1.528498123872524e-43,1.333026668417159e-48,5.506467341410069e-10
28.11768697974228,2.629920049394404e-43,2.061884796713501e-49,5.733398527444919e-10
33.93221771895326,4.540988498075813e-43,1.9447462594402937e-50,5.895038475067812e-10
40.94915062380423,7.863962653154088e-43,1.0084314116066431e-51,5.998391317641161e-10
49.417133613238335,1.3652317500949017e-42,2.5375356938999303e-53,6.056431662220075e-10
59.63623316594643,2.3750271023837145e-42,2.665784737573812e-55,6.084319455602204e-10
71.96856730011514,4.1388471179673897e-42,9.752221575792239e-58,6.095431489050692e-10
86.85113737513521,7.222941418828904e-42,9.982268289240579e-61,6.098968586375102e-10
104.81131341546852,1.2620258270357871e-41,2.195738991385488e-64,6.099828828155995e-10
126.48552168552958,2.2072652369202527e-41,7.548705268717202e-69,6.099980405534369e-10
152.6417967175232,3.863670293349878e-41,2.762199533966806e-74,6.099998567215638e-10
184.20699693267144,6.767746713043846e-41,6.767105522605575e-81,6.099999939001156e-10
222.29964825261933,1.1861402515653834e-40,6.344256909333861e-89,6.099999998647994e-10
268.26957952797244,2.0798585678076883e-40,1.1588701534540742e-98,6.099999999986369e-10
323.74575428176433,3.648399373690152e-40,1.826438530368102e-110,6.099999999999947e-10
390.6939937054613,6.401955679404655e-40,9.293726199954212e-125,6.1e-10
471.486636345739,1.1236744751679005e-39,4.66249401910239e-142,6.1e-10
568.9866029018293,1.97272192378068e-39,5.510549558873379e-163,6.1e-10
686.6488450042998,3.4639537170380425e-39,2.7269042282914728e-188,6.1e-10
828.6427728546843,6.083385384398059e-39,7.02511552025685e-219,6.1e-10
1000.0,1.0684990969653e-38,7.612603456863346e-256,6.1e-10
